Dataset,Function,Mean Time,Std Dev Time
1,compression_ratio,0.0009819269180297852,0.0003247177591035642
1,homogenization_score_rougel,1.1555864572525025,0.012077980507085117
1,ngram_diversity_score,0.0014524221420288085,0.00021777752446636018
2,compression_ratio,0.0013411760330200196,0.00040539662156283905
2,homogenization_score_rougel,1.4299669027328492,0.009682573321497997
2,ngram_diversity_score,0.0014293193817138672,6.626321035449652e-05
3,compression_ratio,0.0014815092086791991,0.00019674394324641846
3,homogenization_score_rougel,1.2679458141326905,0.007415904496588528
3,ngram_diversity_score,0.003611111640930176,0.006630010766607243
4,compression_ratio,0.0016901254653930663,0.00030598270105044236
4,homogenization_score_rougel,1.2284473180770874,0.01352026710029157
4,ngram_diversity_score,0.001453089714050293,0.0001044118256783779
5,compression_ratio,0.0016996145248413086,0.00046333914873017065
5,homogenization_score_rougel,1.1779513835906983,0.007682599857750095
5,ngram_diversity_score,0.0014839887619018555,9.428115223907761e-05
